Mountain_Peak,Mountain_Range,Elevation_m,Prominence_m,Isolation_km,Latitude,Longitude
Mount Elbert,Sawatch Range,4401.2,2772.0,1079.15,39.1178,-106.4454
Mount Massive,Sawatch Range,4398.0,598.0,8.14,39.1875,-106.4757
Mount Harvard,Sawatch Range,4395.6,719.0,24.0,38.9244,-106.3207
Blanca Peak,Sangre de Cristo Mountains,4374.0,1623.0,166.4,37.5775,-105.4856
La Plata Peak,Sawatch Range,4372.0,560.0,10.11,39.0294,-106.4729
Uncompahgre Peak,San Juan Mountains,4365.0,1304.0,136.8,38.0717,-107.4621
Crestone Peak,Sangre de Cristo Range,4359.0,1388.0,44.0,37.9669,-105.5855
Mount Lincoln,Mosquito Range,4356.5,1177.0,36.2,39.3515,-106.1116
Castle Peak,Elk Mountains,4352.2,721.0,33.6,39.0097,-106.8614
Grays Peak,Front Range,4352.0,844.0,40.2,39.6339,-105.8176
Mount Antero,Sawatch Range,4351.4,763.0,28.4,38.6741,-106.2462
Mount Evans,Front Range,4350.0,844.0,15.76,39.5883,-105.6438
Longs Peak,Front Range,4346.0,896.0,70.2,40.255,-105.6151
Mount Wilson,San Miguel Mountains,4344.0,1227.0,53.1,37.8391,-107.9916
Mount Princeton,Sawatch Range,4329.3,664.0,8.36,38.7492,-106.2424
Mount Yale,Sawatch Range,4328.2,578.0,8.93,38.8442,-106.3138
Maroon Peak,Elk Mountains,4317.0,712.0,12.97,39.0708,-106.989
Mount Sneffels,Sneffels Range,4315.4,930.0,25.3,38.0038,-107.7923
Capitol Peak,Elk Mountains,4309.0,533.0,11.98,39.1503,-107.0829
Pikes Peak,Front Range,4302.31,1686.0,97.6,38.8405,-105.0442
Windom Peak,Needle Mountains,4296.0,667.0,42.4,37.6212,-107.5919
Handies Peak,San Juan Mountains,4284.8,582.0,18.0,37.913,-107.5044
Culebra Peak,Culebra Range,4283.0,1471.0,56.9,37.1224,-105.1858
San Luis Peak,La Garita Mountains,4273.8,949.0,43.4,37.9868,-106.9313
Mount of the Holy Cross,Sawatch Range,4270.5,644.0,29.6,39.4668,-106.4817
Grizzly Peak,Sawatch Range,4265.6,588.0,10.89,39.0425,-106.5976
Mount Ouray,Sawatch Range,4255.4,810.0,21.9,38.4227,-106.2247
Vermilion Peak,San Juan Mountains,4237.0,642.0,14.6,37.7993,-107.8285
Mount Silverheels,Front Range,4215.0,696.0,8.82,39.3394,-106.0054
Rio Grande Pyramid,San Juan Mountains,4214.4,573.0,17.31,37.6797,-107.3924
Bald Mountain,Front Range,4173.0,640.0,12.09,39.4448,-105.9705
Mount Oso,San Juan Mountains,4173.0,507.0,8.71,37.607,-107.4936
Mount Jackson,Sawatch Range,4168.5,552.0,5.16,39.4853,-106.5367
Bard Peak,Front Range,4159.0,518.0,8.74,39.7204,-105.8044
West Spanish Peak,Spanish Peaks,4155.0,1123.0,32.0,37.3756,-104.9934
Mount Powell,Gore Range,4141.0,914.0,34.6,39.7601,-106.3407
Hagues Peak,Mummy Range,4137.0,738.0,25.3,40.4845,-105.6464
Tower Mountain,San Juan Mountains,4132.0,504.0,7.86,37.8573,-107.623
Treasure Mountain,Elk Mountains,4125.0,862.0,11.13,39.0244,-107.1228
North Arapaho Peak,Front Range,4117.0,507.0,24.8,40.0265,-105.6504
